旅店名稱,CountyCode,AreaCode,Village,StreetDoorPlate,聯絡電話,111年優惠方案
傑克堡旅館,67000,67000340,,民德路58巷106號,0966-515771,"本旅館為響應環保,即日起至2022年12月31日,民眾續住不更換床單及毛巾者提供每日優惠房價100元。"""
天下大飯店,67000,67000340,,成功路202號,06-2290271*1307,"即日起至2022年12月31日止，民眾自備盥洗用品入住，優惠平日入住標準雙人房2500、搖擺三人房3400、搖擺四人房3900等房型，以上含歐式自助早餐，客房提供毛浴巾.恕不提供備品及紙拖鞋。 (優惠方案以飯店公告為主，本飯店保留活動內容說明及修改之權利，恕不另行通知)"""
富信大飯店,67000,67000340,,成功路336號,06-2227373,"本旅館為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止，凡民眾自備盥洗用品，標準客房優惠價$2689，雅緻家庭房優惠價$4129，以鼓勵民眾落實環保行為。"""
FUNDI HOTEL,67000,67000340,,成功路68巷27號,0910-895655,"FUNDI HOTEL有感於環保意識的高漲，主動參與環保署環保旅店活動，不主動提供一次性備品等措施 即日起至2022年12月31日止，民眾自備盥洗用具或續住不換床單毛巾，提供雙人房平日減100元；四人房平日減200元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
新東亞旅埕,67000,67000340,,成功路68巷45號,0921-220150,"新東亞旅埕為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止凡民眾自備盥洗用品或續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
南方家屋旅店,67000,67000340,,前鋒路318號,06-2096988,"本旅館（宿）為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日期間住宿，民眾自備盥洗用品及續住不更換床單毛巾，折抵房價優惠100元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
榮美金鬱金香酒店,67000,67000340,,海安路三段50號,06-2200366,即日起至111年12月31日，凡預訂環保房專案，客房內無提供一次性備品(如
好室連連,67000,67000340,,海安路三段53巷18號,0910-995939,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間續住不更換床單及毛巾者，提供每日優惠房價100元。"""
禧榕軒大飯店,67000,67000340,,成功路28號,06-2222188,"本旅館（宿）為響應環保，主動參與環保署辦理「環保旅店」，即日起至2023年06月30日期間住宿本旅館，凡民眾自備盥洗用品或續住不更換床單及毛巾即提供優惠，以鼓勵民眾落實環保行為。"""
回家旅行,67000,67000350,,尊安街87號,0914-039585,"回家旅行為響應環保，主動參與環保署辦理「環保旅店」，即日起凡民眾自備盥洗用品或續住不更換床單及毛巾，入住參加永順號遊潟湖即折價30元優惠，以鼓勵民眾落實環保行為。"""
拾光旅宿,67000,67000360,玉城里,安北路115號,0900 087 115,"拾光旅宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日凡民眾續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
莉莉安民宿,67000,67000360,,世平一街8巷4號,0953-261251,"莉莉安民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日民眾至民宿住宿自備盥洗用品或續住不更換床單及毛巾即提供免費咖啡一杯，以鼓勵民眾落實環保行為。"""
VIVA漁樂活台南安平民宿,67000,67000360,,世平五街10巷37號,0909-225296,"VIVA漁樂活台南安平民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日，凡民眾自備盥洗用品入住，依當日公告房價打95折優惠，此優惠方不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
安平倆倆民宿,67000,67000360,,世平路21號,06-2908091,"安平倆倆民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日，凡民眾自備盥洗用品或續住不更換床單及毛巾即提供每日優惠房價200元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
我小時候Design Hotel,67000,67000360,,世平路7號,0919-823565,"即日起至2022年12月31日止，『民眾自備盥洗用品或續不更換床單及毛巾，即提供優惠方案 ，提供雙人房假日減100元/平日減200元；四人房假日減200元/平日減300元』，如其他優惠方案不得合併使用。(本民宿目前為防疫旅館，不提供環保專案，詳細以現場為主。)"""
樹屋文旅,67000,67000360,,永華五街20號,06-2989566,"樹屋文旅為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日凡民眾續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
玩聚安平民宿,67000,67000360,,安平路606巷17弄13號,0976-677859,"玩聚安平民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止,凡民眾自備盥洗用品或續住不更換床單及毛巾即提供精美小禮物送給旅客，以鼓勵民眾落實環保行為。"""
黑琵軼棧民宿,67000,67000360,,州平二街38巷12號,0988-465941,"黑琵軼棧民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止,凡民眾自備盥洗用品或續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
安平作夥憩海邊,67000,67000360,,州平二街38巷22號,0937-017956,"本旅館(宿)為響應環保,即日起至2022年12月31日止,民眾續住不更換床單及毛巾者,提供9折優惠。"""
時驛精品旅館,67000,67000360,,慶平路117號,0919-162726,"時驛精品旅館為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止,凡民眾自備盥洗用品依當日房價每人折100元優，兩人房折200元，四人房折400元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
台南維悅酒店,67000,67000360,,慶平路539號,06-2950888,"即日起至2022年12月31日止，環保方案自備盥洗用具入住平日單、雙人2399/四人房3599"""
中華電信安平古堡會館,67000,67000360,,安平路986號,06-3916101,本會館將不主動提供盥洗用具或、續住不更換床單、毛巾等措施，提供員工房間使用平日優惠房價9.5折。(僅限中華電信員工) 環保作為
臺邦商旅,67000,67000360,,永華二街199號,06-2931800,"本旅館為響應環保,即日起至2022年12月31日,民眾自備盥洗用品入住,依當日公告房價打95折。"""
安平72民宿,67000,67000360,,世平一街8巷72號,0929-363093,"本民宿為響環保，主動參與環保署辦理環保旅店即日起至111年12月31日，凡民眾自備盥洗用品，依當日房價折100元，以鼓勵民眾落實環保行為。"""
安平156民宿,67000,67000360,,同平路156巷24號,0929-363093,"本民宿為響環保，主動參與環保署辦理環保旅店即日起至111年12月31日，凡民眾自備盥洗用品，依當日房價折100元，以鼓勵民眾落實環保行為。"""
安平寵物島民宿,67000,67000360,,同平路156巷18之1號,0929-363093,"本民宿為響環保，主動參與環保署辦理環保旅店即日起至111年12月31日，凡民眾自備盥洗用品，依當日房價折100元，以鼓勵民眾落實環保行為。"""
台南安平海潮朝民宿,67000,67000360,,州平二街2-1號,0956-167168,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間續住不更換床單及毛巾者，即提供訂房95折優惠。"""
台南安平AP7民宿,67000,67000360,,州平二街2-3號,,
夏木漱石,67000,67000360,,同平路108巷52號,0956-167168,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間續住不更換床單及毛巾者，即提供訂房95折優惠。"""
花水木文旅,67000,67000360,,效忠街12-6號,06-2231155,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間續住不整理方案：服務人員不進房整理、不補充不更換任何備品（包含礦泉水、毛浴巾等），提供第二晚起雙人房折房價100元，四人房折房價150元。"""
郡象商旅有限公司,67000,67000370,民主里,郡西路136號,06-2239268,"「台南郡象商旅P&E hotel」位在台南市中西區，鄰近臺南火車站、赤崁樓、林百貨及海安藝術街等。另為因應地球環保，即日起至111年12月31日自備盥洗用具及一次性備品，平日房價 9 折優惠。此優惠方案不適用於農曆春節期間與假日及國定假日。"""
廣角民宿,67000,67000370,,大同路一段46巷37弄2-1號,0916-880570,"本旅館為響應環保,即日起至2022年12月31,民眾續住不更換床單及毛巾，贈送神秘小禮物一份。 本民宿皆不提供一次性備品，請民眾自行準備。"""
啤酒花大酒店,67000,67000370,,中正路349號,06-2229888,"啤酒花大酒店為響應環保，主動參與環保署辦理「環保旅店」，自2022年1月1日起，凡民眾自備盥洗用品即提供每日優惠房價100元優惠，此優惠方案僅限官網預定，以鼓勵民眾落實環保行為。"""
緣憩手做背包客棧,67000,67000370,,中正路70號,0986-127-777,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本民宿，凡民眾自備盥洗用品，續住依當日公告房價打9折，提供優惠以鼓勵民眾落實環保行為"""
末廣通日和家宅民宿,67000,67000370,,正德街32巷11號,0973-246004,"末廣通日和家宅民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起凡民眾自備盥洗用品或續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
果核抵家民宿,67000,67000370,,民族路二段317巷3號,0955-813920,"果核抵家民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起凡民眾續住不更換床單及毛巾即提供每日優惠房價打9折優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
F商旅-臺南館,67000,67000370,,光賢街23號,06 - 2501199,"即日起至2022年12月31日止，民眾自備盥洗入住，平日雙人房1700 /四人房優惠2400元 (若現場要求飯店提供，則需以一般訂房價住宿，現場補繳費用) ※不得與其他優惠方式合併使用 ※農曆春節期間不適用 ※團體恕不適用※每日限優惠2間 ※連續假日及7、8月之週六不適用 ※房價之變動依官網為主"""
三道門建築文創旅店,67000,67000370,,成功路 77 號,06-222-3088,"三道門取自，「建築美學」、「藝術賞析」、「古都文化」之門的涵義，希望來到台南的每位旅人，透過三道門的洗禮，在走進大廳、登上樓層、開啟房門的當下，來細緻品味生活的歸宿。並為提倡與旅客一起做環保，推出環保優惠專案： 【樂活三天兩夜環保之旅 優惠專案】 即日起至2022/12/31止，平日(週日至週五,兩平日)天步藝術雙人房兩晚4624元，第一晚2312元(原價平日45折)/第二晚2312元(原價平日35折)；天步樹上四人房兩晚7326元，第一晚3960元(原價平日 45 折)/二晚3366元(原價平日35折)"""
聖旺商旅,67000,67000370,,西門路一段576號,06-2130789,"聖旺商旅為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止，於平日（周日至周四）入住本飯店之不限房型，且客房內不提供一次性拋棄式盥洗用品(全備品、拖鞋以及大/小毛巾…等)，即可享房價折價100元；此方案限透過電話/臨櫃預約，房型為不限房型，且每日限量三間。此優惠方案不適用於農曆春節期間，詳細活動內容請上官網/粉絲頁查詢。"""
正興延平民宿,67000,67000370,,西門路二段136巷7號,0985-254382,"本旅宿為響應環保，主動參與環保署舉辦「環保旅店」，自即日起至2022年12月31日，期間凡民眾自備盥洗用品，雙人房優惠價格1000元、四房房優惠價格2100元，此活動只適用平日。"""
聖禾大飯店,67000,67000370,,西門路二段23號,06-2200988,"聖禾大飯店 ( Hotel A ) 為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止，於平日（周日至周四）入住本飯店之不限房型，且客房內不提供一次性拋棄式盥洗用品(全備品、拖鞋以及大/小毛巾…等)，即可享房價折價100元；此方案限透過電話/臨櫃預約，房型為不限房型，且每日限量三間。此優惠方案不適用於農曆春節期間，詳細活動內容請上官網/粉絲頁查詢。"""
赤崁璽樓民宿,67000,67000370,,西門路二段372巷10號,06-2245179,"環保旅店優惠方案內容\n本旅館(宿)為響應環保,即日起至2022年12月31日止,民眾自備換洗用品或續住不更換床單及毛巾,依當日房價折100元，僅限平日使用。"""
OYAJI Guesthouse,67000,67000370,,赤崁東街18號,0906-683958,"即日起至2022年12月31日，凡民眾自備盥洗用品或續住不更換床單及毛巾即提供依當日公告房價打95折優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
赤嵌厝,67000,67000370,,赤嵌街39巷7號,0915-566037,"即日起至2022年12月31日，凡民眾自備盥洗用品或續住不更換床單及毛巾，折扣4人房2600+10%服務費，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
福憩背包客棧,67000,67000370,,和平街91號,0986-127-777,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本民宿，凡民眾自備盥洗用品，續住依當日公告房價打9折，提供優惠以鼓勵民眾落實環保行為。"""
愉品居民宿,67000,67000370,,府中街36號,0972-609152,"本旅館(宿)為響應環保,即日起至2022年12月31日止,民眾自備換洗用品或續住不更換床單及毛巾,依當日房價打95折，提供優惠以鼓勵民眾落實環保行為本旅館(宿)為響應環保,即日起至2022年12月31日止,民眾自備換洗用品或續住不更換床單及毛巾,依當日房價打95折，提供優惠以鼓勵民眾落實環保行為。"""
二弄八號,67000,67000370,,府前路一段 85 巷 2 弄8號,0987-375086,"本旅館（宿）為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止，民眾自備盥洗用品及續住不更換床單毛巾，平日房價95折優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
富華大飯店,67000,67000370,,忠義路二段28號,06-2229801,"即日起至2022/12/31，愛地球環保住房優惠專案NT$1,709起，環保住房優惠專案客房內不提供任何消耗備品：洗髮精、沐浴乳、香皂、刮鬍刀、棉花棒、梳子、牙刷組、拖鞋、洗衣袋、浴巾、毛巾、等。敬請攜帶個人盥洗用品響應環保。若需備品須補差價改為一般住房專案。"""
屎溝墘客廳,67000,67000370,,信義街3號,0931-820-552,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日，民眾自備盥洗用品，贈送神秘小禮物一份。"""
星象商旅,67000,67000370,,海安路一段151號,06-2210988,"即日起至2022年12月31日止，民眾自備盥洗用品或續住不更換毛巾床單者，雅致雙人房優惠平日1500元，假日優惠2500元(不含停車位)。"""
包成家,67000,67000370,,海安路二段128巷38號,06-2211060,"本旅館(宿)為響應環保,即日起至2022年12月31日止,民眾續住不更換床單及毛巾者,提供每日優惠房價200元。備註"
Local樂客背包旅棧,67000,67000370,,海安路二段259巷33號,0911-825616,"Local樂客背包旅棧為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日，凡民眾自備盥洗用品或續住不更換床單及毛巾即提供精美小禮物送給旅客，以鼓勵民眾落實環保行為。"""
金屋旅棧,67000,67000370,,郡緯街50號,06-2222606,"1.金屋想為地球盡一份心力，即日起至2022年12月31日只要你帶自己的牙膏牙刷、大小毛，環保餐具以及水壺，平日標準雙人房1100元，三人房1500元(房內將不提供瓶裝水"""
捷喬商務旅館,67000,67000370,,尊王路158號,(06)2295107,"即日起至2022年12月31日止，民眾自備盥洗用品及毛巾，平日雙人入住1600元，四人入住2500元，此優惠方案不適用於農曆春節期間及特殊連續假期。"""
南築雅室民宿,67000,67000370,,開山路109巷8號,0938-379058,"南築雅室民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日凡民眾自備盥洗用品或續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
歐嬉客棧,67000,67000370,,新美街197號,0988-468880,"歐嬉客棧為響應環保，主動參與環保署辦理「環保旅店」，即日起至住宿本民宿，凡民眾自備盥洗用品或續住不更換床單及毛巾即提供優惠房價100元，以鼓勵民眾落實環保行為。"""
劍橋大飯店-台南館,67000,67000370,,民族路二段269號,(06)2219966,即日起至2022年12月31日止，民眾自備盥洗用具入住者，可享提供優惠房價
Unique Hotel-達煦23旅店,67000,67000370,,康樂街156號5樓,06-2222723,"本旅館(宿)為響應環保，即日起至2022年12月31日止，凡自備所有一次性備品之旅客，每房每晚可折抵房價$100元。本優惠方案不提供所有一次性備品，若為續住旅客，則不更換床單與布毛巾。本活動僅提供事先預訂，不得與其他優惠、平台折扣合併使用。"""
榮興金鬱金香酒店,67000,67000370,,民族路二段128號,06-2208366,即日起至111年12月31日，凡預訂環保房專案，客房內無提供一次性備品(如
森弄民宿,67000,67000370,,神農街92號,0986-680021,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本民宿，凡民眾續住不更換床單及毛巾優惠房價100元，提供優惠以鼓勵民眾落實。"""
信然文學-首學,67000,67000370,,康樂街148號,06-2238999,"本旅店為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本旅店，凡民眾自備盥洗用品，依當日公告房價打9折，提供優惠以鼓勵民眾落實環保行為。(旅館即日起目前為防疫旅館)"""
煙波大飯店台南館,67000,67000370,,永福路一段269號,06-2156000,"本飯店為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本飯店，凡民眾自備盥洗用品及續住不更換床單，本飯店依當日公告房價打9折，提供優惠以鼓勵民眾落實環保行為。"""
同心旅棧,67000,67000370,,忠孝街93巷114號之6,0918-865801,"本旅館為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本旅館，凡民眾自備盥洗用品優惠依相關配套提供優惠房價打95折，且續住不更換床單及毛巾優惠再加碼相關優惠打9折。"""
達布旅,67000,67000370,,忠明街6號,0982-978567,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本民宿，自備盥洗用品及續住不更換床單及毛巾，可享入住房價100元。"""
Oinn Hotel & Hostel巷弄輕旅,67000,67000370,,文和街29號,06-3501101,"環保不含早專案｜享優惠專案價\n單人床位優惠折抵$100 / 雙人床位優惠折抵$200 / 套房優惠折抵$201● 本專案「不」含早餐。● 本專案「不」提供一次性用品，例：梳子、牙刷、牙膏、浴帽、棉花棒、刮鬍刀等。\n● 本專案住宿期間「不」提供床單、被套、枕頭套、浴巾、毛巾更換。● 本專案不與其他優惠併用；農曆春節亦不適用。● OINN.H.H保有專案修改、解釋與提前終止之權利，若有變更依官網公告為主，恕不另行通知。"""
好?商務型民宿,67000,67000370,,康樂街249號,0975-393054,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間凡民眾自備盥洗用品續住不更換床單及毛巾即提供房價5折優惠，以鼓勵民眾落實環保行為。"""
富驛時尚酒店,67000,67000370,,民生路二段76號,06-5116977,"本旅館為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間自備盥洗用品及續住不更換床單及毛巾，平日無窗舒適雙人房1,799元。本專案不含早餐；假日每晚每房，需加價1000元。"""
有日文旅,67000,67000370,,民生路一段207號,0910-995939,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間續住不更換床單及毛巾者，依相關配套提供優惠一房200元優惠折扣。"""
